Participant.ID,B1MA2,B1MA3,B1MA4,B1MA5,B2MA1,B2MA3,B2MA4,B2MA5,B3MA1,B3MA2,B3MA3,B3MA4,B3MA5,Mat_Att,Mat_Flu,Mat_Cen,Mat_Total,PD1,PD2,DD1,DD2,PA,Score,G0,G1,G2,G3,G4,G5
ND29,22,3,12,2,39,44,5,34,42,16,5,24,29,9.75,30.50,23.20,21.15,338.082,338.082,283.723,295.6,5.098,9,44,55,22,37,37,95
ND30,6,5,8,2,22,27,8,38,21,14,1,5,26,5.25,23.75,13.40,14.13,340.367,351.431,280.42,269.161,5.647,7,36,39,7,34,13,45
ND31,0,13,13,27,10,2,8,44,27,35,5,39,8,13.25,16.00,22.80,17.35,347.899,340.94,283.723,280.42,2.888,10,47,53,19,38,32,80
ND32,22,2,14,1,22,12,41,32,1,14,8,24,69,9.75,26.75,23.20,19.90,338.652,335.813,275.537,277.155,3.902,10.5,42,46,22,33,34,84
ND33,16,2,20,1,11,3,12,7,3,7,2,6,23,9.75,8.25,8.20,8.73,335.813,332.998,277.155,273.929,1.848,13,60,61,27,42,43,104
ND34,23,2,10,15,6,32,1,60,25,22,1,4,44,12.50,24.75,19.20,18.82,338.652,337.514,290.449,282.067,5.944,9,45,48,24,37,27,74
ND35,12,4,7,3,1,27,3,23,8,10,9,10,22,6.50,13.50,11.80,10.60,335.248,335.813,278.782,282.067,3.214,14.5,57,51,43,35,32,100
ND37,18,8,5,0,10,18,0,20,24,4,53,24,32,7.75,12.00,27.40,15.72,334.684,334.121,282.067,280.42,3.689,16.5,56,63,46,42,48,123
ND38,29,3,17,16,10,33,4,74,10,0,10,12,33,16.25,30.25,13.00,19.83,334.684,331.321,261.4,266.029,3.681,10.5,39,37,17,29,22,66
ND39,29,13,8,2,11,12,38,10,1,9,9,10,24,13.00,17.75,10.60,13.78,331.879,334.684,266.029,267.59,1.711,14,44,59,25,40,47,97
ND40,5,6,3,3,16,24,19,40,10,20,12,11,54,4.25,24.75,21.40,16.80,336.946,335.813,277.155,282.067,3.75,13,37,43,14,31,31,70
ND41,17,4,6,6,10,21,16,44,8,19,13,13,75,8.25,22.75,25.60,18.87,334.684,335.248,297.337,300.843,1.418,10,34,48,30,33,30,78
ND42,14,6,11,1,25,27,8,44,4,8,11,10,25,8.00,26.00,11.60,15.20,342.09,343.823,272.33,266.029,2.524,9,28,43,19,32,28,67
ND44,44,17,18,18,5,37,7,24,6,46,27,10,63,24.25,18.25,30.40,24.30,333.559,332.998,288.753,287.066,2.705,10,32,23,14,26,24,49
ND45,17,1,10,1,23,37,3,25,4,11,47,10,50,7.25,22.00,24.40,17.88,352.617,339.794,307.98,297.337,5.944,9.5,38,39,14,24,27,61
ND46,35,10,19,10,20,27,15,40,27,37,5,1,44,18.50,25.50,22.80,22.27,358.001,346.729,295.6,306.18,5.129,12.5,30,54,15,24,17,46
